cell_K,cell_lambda,seed,window,strategy,p_at_50,alpha,beta,gamma,delta
50,3.0,116,5,fixed,0.58,0.7,0.5,0.1,0.2
50,3.0,116,5,online,0.58,0.5,0.5,0.1,0.3
50,3.0,116,5,offline,0.6,0.9,0.7,0.0,0.3
50,3.0,117,5,fixed,0.42,0.7,0.5,0.1,0.2
50,3.0,117,5,online,0.52,0.5,0.5,0.1,0.3
50,3.0,117,5,offline,0.44,0.9,0.7,0.0,0.3
50,3.0,118,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,118,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,118,5,offline,0.54,0.9,0.7,0.0,0.3
50,3.0,119,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,119,5,online,0.46,0.5,0.5,0.1,0.3
50,3.0,119,5,offline,0.5,0.9,0.7,0.0,0.3
50,3.0,120,5,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,120,5,online,0.66,0.5,0.5,0.1,0.3
50,3.0,120,5,offline,0.64,0.9,0.7,0.0,0.3
50,3.0,121,5,fixed,0.42,0.7,0.5,0.1,0.2
50,3.0,121,5,online,0.44,0.5,0.5,0.1,0.3
50,3.0,121,5,offline,0.42,0.9,0.7,0.0,0.3
50,3.0,122,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,122,5,online,0.6,0.5,0.5,0.1,0.3
50,3.0,122,5,offline,0.6,0.9,0.7,0.0,0.3
50,3.0,123,5,fixed,0.62,0.7,0.5,0.1,0.2
50,3.0,123,5,online,0.62,0.5,0.5,0.1,0.3
50,3.0,123,5,offline,0.64,0.9,0.7,0.0,0.3
50,3.0,124,5,fixed,0.4,0.7,0.5,0.1,0.2
50,3.0,124,5,online,0.48,0.5,0.5,0.1,0.3
50,3.0,124,5,offline,0.42,0.9,0.7,0.0,0.3
50,3.0,125,5,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,125,5,online,0.52,0.5,0.5,0.1,0.3
50,3.0,125,5,offline,0.48,0.9,0.7,0.0,0.3
50,3.0,126,5,fixed,0.48,0.7,0.5,0.1,0.2
50,3.0,126,5,online,0.58,0.5,0.5,0.1,0.3
50,3.0,126,5,offline,0.52,0.9,0.7,0.0,0.3
50,3.0,127,5,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,127,5,online,0.68,0.5,0.5,0.1,0.3
50,3.0,127,5,offline,0.66,0.9,0.7,0.0,0.3
50,3.0,128,5,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,128,5,online,0.62,0.5,0.5,0.1,0.3
50,3.0,128,5,offline,0.58,0.9,0.7,0.0,0.3
50,3.0,129,5,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,129,5,online,0.66,0.5,0.5,0.1,0.3
50,3.0,129,5,offline,0.6,0.9,0.7,0.0,0.3
50,3.0,105,6,fixed,0.54,0.7,0.5,0.1,0.2
50,3.0,105,6,online,0.58,0.9,0.7,0.0,0.3
50,3.0,105,6,offline,0.6,0.7,0.5,0.0,0.3
50,3.0,106,6,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,106,6,online,0.54,0.9,0.7,0.0,0.3
50,3.0,106,6,offline,0.56,0.7,0.5,0.0,0.3
50,3.0,107,6,fixed,0.46,0.7,0.5,0.1,0.2
50,3.0,107,6,online,0.46,0.9,0.7,0.0,0.3
50,3.0,107,6,offline,0.46,0.7,0.5,0.0,0.3
50,3.0,108,6,fixed,0.6,0.7,0.5,0.1,0.2
50,3.0,108,6,online,0.64,0.9,0.7,0.0,0.3
50,3.0,108,6,offline,0.6,0.7,0.5,0.0,0.3
50,3.0,109,6,fixed,0.52,0.7,0.5,0.1,0.2
50,3.0,109,6,online,0.54,0.9,0.7,0.0,0.3
50,3.0,109,6,offline,0.54,0.7,0.5,0.0,0.3
50,3.0,110,6,fixed,0.56,0.7,0.5,0.1,0.2
50,3.0,110,6,online,0.56,0.9,0.7,0.0,0.3
