seed,axis,regime,ghost_rate,phantom_rate,total_error,retire,precision
1307,retire,,0.00973722744051538,0.12613683431639183,0.13587406175690722,30.0,
1307,retire,,0.007312734030864988,0.20587825242179345,0.21319098645265844,60.0,
1307,retire,,0.007298115591737275,0.3659455385150455,0.3732436541067828,120.0,
1307,precision,,0.011830904509053148,0.26993099003782867,0.28176189454688183,,0.8
1307,precision,,0.010725293509616787,0.1702913983407955,0.1810166918504123,,0.9
1307,precision,,0.00973722744051538,0.12613683431639183,0.13587406175690722,,0.95
1307,precision,,0.00942963530139383,0.085323467203463,0.09475310250485683,,0.99
1308,regime,continuous,0.009665616603733752,0.12311757644804511,0.13278319305177885,,
1308,regime,periodic,0.567605017551643,0.02919686851958496,0.596801886071228,,
1308,retire,,0.09989626636413719,0.060441815810762856,0.16033808217490003,7.0,
1308,retire,,0.04051539640807277,0.08005532387330673,0.1205707202813795,14.0,
1308,retire,,0.009665616603733752,0.12311757644804511,0.13278319305177885,30.0,
1308,retire,,0.007646626575515359,0.20695646450195584,0.2146030910774712,60.0,
1308,retire,,0.007553639843507397,0.3752424619226949,0.38279610176620227,120.0,
1308,precision,,0.012603894197061954,0.271252900944229,0.2838567951412909,,0.8
1308,precision,,0.010442600477187591,0.1735107115741491,0.1839533120513367,,0.9
1308,precision,,0.009665616603733752,0.12311757644804511,0.13278319305177885,,0.95
1308,precision,,0.009602177489770065,0.08574667002166887,0.09534884751143893,,0.99
1309,regime,continuous,0.01004093230571438,0.12667642702623175,0.13671735933194612,,
1309,regime,periodic,0.5910826400096744,0.029502256046086597,0.620584896055761,,
1309,retire,,0.112488527510832,0.05893555773059418,0.1714240852414262,7.0,
1309,retire,,0.037673716345539336,0.07933031961206276,0.11700403595760209,14.0,
1309,retire,,0.01004093230571438,0.12667642702623175,0.13671735933194612,30.0,
1309,retire,,0.007735137804977046,0.20984522895950977,0.21758036676448683,60.0,
1309,retire,,0.007891456631974365,0.37147917941737857,0.37937063604935295,120.0,
1309,precision,,0.01191323815572958,0.2721231196745658,0.2840363578302954,,0.8
1309,precision,,0.01014378115807513,0.17585541503284066,0.1859991961909158,,0.9
1309,precision,,0.01004093230571438,0.12667642702623175,0.13671735933194612,,0.95
1309,precision,,0.009847843617857335,0.08458883509892434,0.09443667871678167,,0.99
1310,regime,continuous,0.009841900888554493,0.1239819986901065,0.13382389957866098,,
1310,regime,periodic,0.5843559529560791,0.029266783994228083,0.6136227369503072,,
1310,retire,,0.10432130692061697,0.05975276978716721,0.16407407670778418,7.0,
1310,retire,,0.03533688332776075,0.07995060232829336,0.11528748565605411,14.0,
1310,retire,,0.009841900888554493,0.1239819986901065,0.13382389957866098,30.0,
1310,retire,,0.007682448663441319,0.2101086391838434,0.2177910878472847,60.0,
