tau,cell_K,cell_lambda,seed,window,strategy,p_at_50
0.02,50,3.0,120,5,fixed,0.6
0.02,50,3.0,120,5,lag1,0.66
0.02,50,3.0,120,5,adaptive,0.6
0.02,50,3.0,120,5,gated,0.66
0.02,50,3.0,120,5,offline,0.64
0.02,50,3.0,121,5,fixed,0.42
0.02,50,3.0,121,5,lag1,0.44
0.02,50,3.0,121,5,adaptive,0.42
0.02,50,3.0,121,5,gated,0.44
0.02,50,3.0,121,5,offline,0.42
0.02,50,3.0,122,5,fixed,0.52
0.02,50,3.0,122,5,lag1,0.6
0.02,50,3.0,122,5,adaptive,0.52
0.02,50,3.0,122,5,gated,0.6
0.02,50,3.0,122,5,offline,0.6
0.02,50,3.0,123,5,fixed,0.62
0.02,50,3.0,123,5,lag1,0.62
0.02,50,3.0,123,5,adaptive,0.62
0.02,50,3.0,123,5,gated,0.62
0.02,50,3.0,123,5,offline,0.64
0.02,50,3.0,124,5,fixed,0.4
0.02,50,3.0,124,5,lag1,0.48
0.02,50,3.0,124,5,adaptive,0.4
0.02,50,3.0,124,5,gated,0.48
0.02,50,3.0,124,5,offline,0.42
0.02,50,3.0,125,5,fixed,0.48
0.02,50,3.0,125,5,lag1,0.52
0.02,50,3.0,125,5,adaptive,0.48
0.02,50,3.0,125,5,gated,0.52
0.02,50,3.0,125,5,offline,0.48
0.02,50,3.0,126,5,fixed,0.48
0.02,50,3.0,126,5,lag1,0.58
0.02,50,3.0,126,5,adaptive,0.48
0.02,50,3.0,126,5,gated,0.58
0.02,50,3.0,126,5,offline,0.52
0.02,50,3.0,127,5,fixed,0.6
0.02,50,3.0,127,5,lag1,0.68
0.02,50,3.0,127,5,adaptive,0.6
0.02,50,3.0,127,5,gated,0.68
0.02,50,3.0,127,5,offline,0.66
0.02,50,3.0,128,5,fixed,0.52
0.02,50,3.0,128,5,lag1,0.62
0.02,50,3.0,128,5,adaptive,0.52
0.02,50,3.0,128,5,gated,0.62
0.02,50,3.0,128,5,offline,0.58
0.02,50,3.0,129,5,fixed,0.56
0.02,50,3.0,129,5,lag1,0.66
0.02,50,3.0,129,5,adaptive,0.56
0.02,50,3.0,129,5,gated,0.66
0.02,50,3.0,129,5,offline,0.6
0.02,50,3.0,105,6,fixed,0.54
0.02,50,3.0,105,6,lag1,0.58
0.02,50,3.0,105,6,adaptive,0.54
0.02,50,3.0,105,6,gated,0.58
0.02,50,3.0,105,6,offline,0.6
0.02,50,3.0,106,6,fixed,0.56
0.02,50,3.0,106,6,lag1,0.54
0.02,50,3.0,106,6,adaptive,0.56
0.02,50,3.0,106,6,gated,0.54
0.02,50,3.0,106,6,offline,0.56
