seed,sigma,method,n_mcetp,mwp_at_50,ndcg_at_50,mwp_at_100,ndcg_at_100,mwp_at_250,ndcg_at_250
505,1.0,CAP-day0,31,0.28,0.5339,0.25,0.7168,0.12,0.7927
505,1.0,EPSS-matured-oracle,31,0.3,0.5619,0.27,0.7707,0.124,0.8338
505,1.0,CVSS-only,31,0.22,0.3092,0.19,0.4468,0.112,0.5809
505,1.0,Random,31,0.02,0.023,0.01,0.023,0.008,0.0377
505,1.0,Context-only,31,0.04,0.0545,0.04,0.0897,0.048,0.2075
505,1.0,PTI-full,31,0.28,0.5493,0.26,0.7559,0.124,0.8321
505,1.0,PTI-noObs,31,0.3,0.569,0.23,0.7054,0.12,0.8096
505,1.0,PTI-noCrit,31,0.22,0.2792,0.22,0.467,0.124,0.6023
506,0.0,EPSS-day0,32,0.22,0.2323,0.17,0.3314,0.12,0.5247
506,0.0,CAP-day0,32,0.24,0.3669,0.21,0.5167,0.12,0.6527
506,0.0,EPSS-matured-oracle,32,0.24,0.4668,0.21,0.6173,0.12,0.7537
506,0.0,CVSS-only,32,0.14,0.1492,0.13,0.2524,0.108,0.4603
506,0.0,Random,32,0.02,0.0302,0.01,0.0302,0.008,0.0441
506,0.0,Context-only,32,0.08,0.0785,0.06,0.111,0.032,0.1383
506,0.0,PTI-full,32,0.26,0.4946,0.22,0.6442,0.12,0.7656
506,0.0,PTI-noObs,32,0.22,0.4374,0.2,0.5854,0.112,0.7034
506,0.0,PTI-noCrit,32,0.22,0.2386,0.17,0.3388,0.12,0.5333
506,0.25,EPSS-day0,32,0.18,0.1958,0.15,0.2997,0.12,0.5234
506,0.25,CAP-day0,32,0.24,0.3811,0.22,0.5457,0.12,0.6654
506,0.25,EPSS-matured-oracle,32,0.24,0.4668,0.21,0.6173,0.12,0.7537
506,0.25,CVSS-only,32,0.18,0.2145,0.19,0.3835,0.112,0.5163
506,0.25,Random,32,0.02,0.0349,0.01,0.0349,0.008,0.0485
506,0.25,Context-only,32,0.08,0.0785,0.06,0.111,0.032,0.1383
506,0.25,PTI-full,32,0.26,0.5004,0.22,0.6499,0.12,0.77
506,0.25,PTI-noObs,32,0.26,0.4903,0.21,0.626,0.12,0.7585
506,0.25,PTI-noCrit,32,0.2,0.2473,0.16,0.3513,0.12,0.5597
506,0.5,EPSS-day0,32,0.2,0.2177,0.17,0.3357,0.12,0.5295
506,0.5,CAP-day0,32,0.22,0.3872,0.22,0.5718,0.12,0.6927
506,0.5,EPSS-matured-oracle,32,0.24,0.4668,0.21,0.6173,0.12,0.7537
506,0.5,CVSS-only,32,0.18,0.1904,0.16,0.3087,0.112,0.4837
506,0.5,Random,32,0.0,0.0,0.01,0.016,0.008,0.0316
506,0.5,Context-only,32,0.08,0.0785,0.06,0.111,0.032,0.1383
506,0.5,PTI-full,32,0.22,0.4199,0.21,0.5884,0.12,0.7254
506,0.5,PTI-noObs,32,0.22,0.4316,0.2,0.5827,0.116,0.7126
506,0.5,PTI-noCrit,32,0.2,0.2146,0.19,0.3635,0.12,0.5263
506,0.75,EPSS-day0,32,0.16,0.1744,0.18,0.343,0.116,0.5019
506,0.75,CAP-day0,32,0.22,0.4199,0.19,0.5548,0.12,0.7171
506,0.75,EPSS-matured-oracle,32,0.24,0.4668,0.21,0.6173,0.12,0.7537
506,0.75,CVSS-only,32,0.2,0.2366,0.15,0.3209,0.112,0.5076
506,0.75,Random,32,0.0,0.0,0.03,0.0499,0.016,0.0632
506,0.75,Context-only,32,0.08,0.0785,0.06,0.111,0.032,0.1383
506,0.75,PTI-full,32,0.26,0.504,0.21,0.6354,0.12,0.7675
506,0.75,PTI-noObs,32,0.24,0.4901,0.18,0.5908,0.116,0.7511
506,0.75,PTI-noCrit,32,0.22,0.3123,0.17,0.413,0.116,0.5889
506,1.0,EPSS-day0,32,0.22,0.2332,0.19,0.3705,0.112,0.5005
506,1.0,CAP-day0,32,0.28,0.4269,0.2,0.5296,0.116,0.6608
506,1.0,EPSS-matured-oracle,32,0.24,0.4668,0.21,0.6173,0.12,0.7537
