cve,epss,in_kev
CVE-2020-0755,0.0053,False
CVE-2020-0756,0.0053,False
CVE-2020-0757,0.00274,False
CVE-2020-0758,0.05427,False
CVE-2020-0759,0.32912,False
CVE-2020-0760,0.33494,False
CVE-2020-0761,0.11137,False
CVE-2020-0762,0.00502,False
CVE-2020-0763,0.00502,False
CVE-2020-0764,0.00386,False
CVE-2020-0765,0.17372,False
CVE-2020-0766,0.00278,False
CVE-2020-0767,0.42191,False
CVE-2020-0768,0.06248,False
CVE-2020-0769,0.00521,False
CVE-2020-0770,0.00707,False
CVE-2020-0771,0.00707,False
CVE-2020-0772,0.0041,False
CVE-2020-0773,0.00707,False
CVE-2020-0774,0.23346,False
CVE-2020-0775,0.00965,False
CVE-2020-0776,0.00495,False
CVE-2020-0777,0.00399,False
CVE-2020-0778,0.00399,False
CVE-2020-0779,0.00604,False
CVE-2020-0780,0.00541,False
CVE-2020-0781,0.00544,False
CVE-2020-0782,0.00367,False
CVE-2020-0783,0.00544,False
CVE-2020-0784,0.00372,False
CVE-2020-0785,0.00465,False
CVE-2020-0786,0.00406,False
CVE-2020-0787,0.59276,True
CVE-2020-0788,0.00544,False
CVE-2020-0789,0.00304,False
CVE-2020-0790,0.00262,False
CVE-2020-0791,0.00531,False
CVE-2020-0792,0.00432,False
CVE-2020-0793,0.0037,False
CVE-2020-0794,0.00232,False
CVE-2020-0795,0.00469,False
CVE-2020-0796,0.94424,True
CVE-2020-0797,0.00538,False
CVE-2020-0798,0.00526,False
CVE-2020-0799,0.00624,False
CVE-2020-0800,0.00538,False
CVE-2020-0801,0.13434,False
CVE-2020-0802,0.00531,False
CVE-2020-0803,0.00544,False
CVE-2020-0804,0.00544,False
CVE-2020-0805,0.00323,False
CVE-2020-0806,0.00399,False
CVE-2020-0807,0.17369,False
CVE-2020-0808,0.0037,False
CVE-2020-0809,0.17369,False
CVE-2020-0810,0.00397,False
CVE-2020-0811,0.03426,False
CVE-2020-0812,0.03426,False
CVE-2020-0813,0.09201,False
CVE-2020-0814,0.00619,False
CVE-2020-0815,0.05427,False
CVE-2020-0816,0.20625,False
CVE-2020-0819,0.00397,False
CVE-2020-0820,0.00996,False
CVE-2020-0821,0.00282,False
CVE-2020-0822,0.00541,False
CVE-2020-0823,0.03843,False
CVE-2020-0824,0.04353,False
CVE-2020-0825,0.28794,False
CVE-2020-0826,0.03843,False
CVE-2020-0827,0.28794,False
CVE-2020-0828,0.03843,False
CVE-2020-0829,0.03843,False
CVE-2020-0830,0.08249,False
CVE-2020-0831,0.03843,False
CVE-2020-0832,0.03253,False
CVE-2020-0833,0.03253,False
CVE-2020-0834,0.00397,False
CVE-2020-0835,0.00274,False
CVE-2020-0836,0.16238,False
CVE-2020-0837,0.0144,False
CVE-2020-0838,0.00363,False
CVE-2020-0839,0.00278,False
CVE-2020-0840,0.00397,False
CVE-2020-0841,0.00397,False
CVE-2020-0842,0.00534,False
CVE-2020-0843,0.00534,False
CVE-2020-0844,0.00399,False
CVE-2020-0845,0.00408,False
CVE-2020-0847,0.07988,False
